sex,age_group,province,education,birthplace,income_group,vote_Liberal,vote_Conservative,vote_NDP,vote_BQ,vote_Green,vote_People,vote_choice
Male,31-50,Quebec,Never attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,70+,Quebec,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,31-50,Quebec,Attended university,Born in Canada,Middle household income,0,0,0,1,0,0,Bloc Québécois
Male,18-30,Quebec,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,People’s Party
Male,18-30,Quebec,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,31-50,Quebec,Attended university,Born outside Canada,High household income,1,0,0,0,0,0,Liberal
Male,31-50,Quebec,Attended university,Born outside Canada,Low household income,1,0,0,0,0,0,People’s Party
Male,31-50,Quebec,Attended university,Born in Canada,High household income,1,0,0,0,0,0,People’s Party
Female,18-30,Quebec,Attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Male,51-70,Quebec,Never attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Male,18-30,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,1,0,0,Bloc Québécois
Male,31-50,Quebec,Never attended university,Born in Canada,Low household income,0,0,0,1,0,0,Bloc Québécois
Male,18-30,Quebec,Never attended university,Born in Canada,Middle household income,0,0,0,1,0,0,Bloc Québécois
Female,18-30,Quebec,Attended university,Born in Canada,Middle household income,0,0,0,0,0,0,People’s Party
Female,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,1,0,0,0,People’s Party
Male,31-50,Quebec,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,31-50,Quebec,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,51-70,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,18-30,Ontario,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,31-50,Ontario,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,31-50,Ontario,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,31-50,Ontario,Attended university,Born outside Canada,Middle household income,0,0,0,0,1,0,Green Party
Male,51-70,Ontario,Attended university,Born in Canada,High household income,0,0,0,0,1,0,Green Party
Male,31-50,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,People’s Party
Female,31-50,Quebec,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Female,31-50,Ontario,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,31-50,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,People’s Party
Male,18-30,Ontario,Never attended university,Born outside Canada,Low household income,0,1,0,0,0,0,Conservatives
Female,51-70,Ontario,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Female,51-70,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,70+,Ontario,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,70+,Ontario,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Female,18-30,Ontario,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,18-30,Ontario,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,70+,Ontario,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Male,51-70,Ontario,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Male,31-50,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,51-70,Ontario,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,51-70,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,51-70,Ontario,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Female,31-50,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,51-70,Ontario,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,18-30,Ontario,Attended university,Born outside Canada,Low household income,0,0,1,0,0,0,NDP
Female,51-70,Ontario,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Male,51-70,Ontario,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,31-50,Ontario,Attended university,Born in Canada,High household income,0,0,1,0,0,0,People’s Party
Male,31-50,Ontario,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,51-70,Ontario,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,70+,Ontario,Never attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,18-30,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born outside Canada,High household income,1,0,0,0,0,0,Liberal
Female,31-50,Ontario,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,51-70,Ontario,Never attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Female,18-30,Ontario,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,70+,Ontario,Never attended university,Born outside Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,51-70,Ontario,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Female,51-70,Ontario,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,31-50,Ontario,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,31-50,Ontario,Never attended university,Born in Canada,High household income,0,0,0,0,0,1,People’s Party
Male,51-70,Ontario,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born outside Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Never attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,51-70,Ontario,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Male,18-30,Ontario,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,31-50,Ontario,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,51-70,Ontario,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,31-50,Ontario,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Female,18-30,Ontario,Never attended university,Born outside Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Never attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,18-30,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Never attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Female,51-70,Ontario,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Male,31-50,Ontario,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,People’s Party
Male,18-30,Ontario,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,31-50,Ontario,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,51-70,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,18-30,Ontario,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,People’s Party
Female,31-50,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,18-30,Ontario,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Attended university,Born outside Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born outside Canada,High household income,1,0,0,0,0,0,Liberal
Female,18-30,Ontario,Attended university,Born in Canada,Low household income,0,0,0,0,1,0,People’s Party
Female,31-50,Ontario,Never attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Male,18-30,Ontario,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,18-30,Ontario,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born outside Canada,High household income,1,0,0,0,0,0,Liberal
Female,31-50,Ontario,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,31-50,Ontario,Never attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Ontario,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,51-70,British Columbia,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,51-70,British Columbia,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,18-30,Ontario,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,British Columbia,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,British Columbia,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,People’s Party
Male,31-50,British Columbia,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,Green Party
Female,31-50,British Columbia,Attended university,Born in Canada,Low household income,0,0,0,0,1,0,Green Party
Male,51-70,British Columbia,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Female,51-70,British Columbia,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,51-70,British Columbia,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,51-70,British Columbia,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Male,31-50,British Columbia,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Female,31-50,British Columbia,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Female,51-70,British Columbia,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Male,18-30,British Columbia,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,Green Party
Male,51-70,British Columbia,Attended university,Born outside Canada,High household income,1,0,0,0,0,0,Liberal
Female,51-70,British Columbia,Never attended university,Born in Canada,Middle household income,0,0,0,0,1,0,People’s Party
Male,31-50,British Columbia,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,31-50,Ontario,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,31-50,British Columbia,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,51-70,Manitoba,Never attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Male,51-70,British Columbia,Attended university,Born in Canada,High household income,1,0,0,0,0,0,People’s Party
Female,31-50,British Columbia,Never attended university,Born in Canada,Middle household income,0,0,0,0,1,0,People’s Party
Male,31-50,British Columbia,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,51-70,British Columbia,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,People’s Party
Female,18-30,British Columbia,Attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Male,51-70,British Columbia,Attended university,Born in Canada,High household income,0,0,0,0,1,0,Green Party
Female,31-50,British Columbia,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Male,31-50,British Columbia,Attended university,Born in Canada,High household income,0,0,1,0,0,0,People’s Party
Female,51-70,British Columbia,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,18-30,British Columbia,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,British Columbia,Never attended university,Born outside Canada,Middle household income,0,0,1,0,0,0,NDP
Male,31-50,British Columbia,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,18-30,British Columbia,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,18-30,Alberta,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,18-30,Alberta,Never attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,31-50,Alberta,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Female,18-30,Alberta,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Female,51-70,Alberta,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,31-50,Alberta,Never attended university,Born in Canada,High household income,0,0,0,0,1,0,Green Party
Male,18-30,Alberta,Never attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,51-70,Alberta,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,18-30,Alberta,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,People’s Party
Female,18-30,Alberta,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Alberta,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,51-70,Alberta,Never attended university,Born outside Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,18-30,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Alberta,Attended university,Born outside Canada,Middle household income,1,0,0,0,0,0,People’s Party
Female,31-50,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,31-50,Alberta,Attended university,Born outside Canada,High household income,0,1,0,0,0,0,Conservatives
Female,51-70,Alberta,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,70+,Alberta,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Alberta,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,51-70,Alberta,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,31-50,Alberta,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,18-30,Alberta,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,Alberta,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,18-30,Alberta,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Male,51-70,Alberta,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,18-30,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,51-70,Alberta,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,18-30,Manitoba,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,31-50,Manitoba,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Manitoba,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,51-70,Manitoba,Attended university,Born outside Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,18-30,Manitoba,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Manitoba,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,18-30,Manitoba,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Manitoba,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,Manitoba,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,51-70,Saskatchewan,Attended university,Born in Canada,Middle household income,0,0,1,0,0,0,NDP
Female,51-70,Saskatchewan,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Saskatchewan,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,18-30,Alberta,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,18-30,Saskatchewan,Attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Female,18-30,Alberta,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,31-50,Newfoundland and Labrador,Attended university,Born in Canada,High household income,0,0,1,0,0,0,NDP
Male,31-50,Newfoundland and Labrador,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,51-70,Prince Edward Island,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,18-30,Prince Edward Island,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,People’s Party
Female,31-50,Prince Edward Island,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,Prince Edward Island,Never attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,Nova Scotia,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,People’s Party
Female,18-30,Nova Scotia,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,People’s Party
Male,18-30,Nova Scotia,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,31-50,Nova Scotia,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,18-30,Nova Scotia,Never attended university,Born in Canada,Low household income,0,0,0,0,1,0,Green Party
Male,51-70,Nova Scotia,Never attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Female,31-50,Nova Scotia,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Nova Scotia,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,31-50,Nova Scotia,Never attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,31-50,British Columbia,Attended university,Born outside Canada,Middle household income,0,0,0,0,1,0,People’s Party
Male,31-50,Nova Scotia,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,31-50,Nova Scotia,Attended university,Born in Canada,High household income,0,1,0,0,0,0,Conservatives
Male,18-30,Nova Scotia,Never attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,51-70,Nova Scotia,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,70+,Nova Scotia,Attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Female,31-50,Nova Scotia,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,51-70,Saskatchewan,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,70+,Saskatchewan,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Saskatchewan,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,18-30,Saskatchewan,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,51-70,Saskatchewan,Never attended university,Born in Canada,Middle household income,0,0,0,0,0,1,People’s Party
Female,51-70,Saskatchewan,Never attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Male,31-50,Saskatchewan,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Male,31-50,Quebec,Never attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,51-70,Quebec,Never attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,51-70,New Brunswick,Attended university,Born in Canada,Middle household income,1,0,0,0,0,0,Liberal
Female,31-50,New Brunswick,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,70+,New Brunswick,Attended university,Born in Canada,Low household income,1,0,0,0,0,0,Liberal
Female,70+,Newfoundland and Labrador,Attended university,Born outside Canada,Low household income,1,0,0,0,0,0,Liberal
Male,51-70,Nova Scotia,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Female,70+,Nova Scotia,Attended university,Born in Canada,High household income,1,0,0,0,0,0,Liberal
Male,70+,British Columbia,Attended university,Born in Canada,Middle household income,0,1,0,0,0,0,Conservatives
Female,51-70,British Columbia,Attended university,Born in Canada,High household income,0,0,1,0,0,0,People’s Party
Female,51-70,British Columbia,Never attended university,Born in Canada,Low household income,0,1,0,0,0,0,People’s Party
Male,70+,British Columbia,Attended university,Born in Canada,Low household income,0,1,0,0,0,0,Conservatives
Male,70+,British Columbia,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
Female,51-70,British Columbia,Attended university,Born in Canada,Low household income,0,0,1,0,0,0,NDP
Male,51-70,British Columbia,Attended university,Born in Canada,Middle household income,0,0,0,0,1,0,Green Party
